identifier,name,bowling_style,batting_style
fe0b3bdf,A Langham,Not found,Not found
67b5bb60,A Leblanc,Failed to retrieve the page. Status code: 404,
c9c0fe50,A Lees,Slow Left arm Orthodox,Left hand Bat
88a004e9,A Lilley,Right arm Medium,Right hand Bat
2bcbcac3,A Limdawala,Not found,Left hand Bat
5eecae5d,A Louw,Right arm Offbreak,Right hand Bat
b483905d,A M Singh,Right arm Medium,Right hand Bat
d6a2f3a5,A Magdalenic,Right arm Medium,Right hand Bat
3ec513ea,A Maheshwari,Left arm Medium fast,Right hand Bat
a172b05d,A Mahmood,Right arm Medium fast,Left hand Bat
9a158001,A Mahmood,Right arm Medium fast,Left hand Bat
f4cb4f53,A Majumdar,Legbreak Googly,Right hand Bat
96503059,A Malik,Right arm Medium,Right hand Bat
eebc0141,A Manatos,Left arm Medium fast,Left hand Bat
36101309,A Manepalli,Not found,Right hand Bat
b672e825,A Manousis,Not found,Not found
a22b4f3f,A Mansale,Right arm Offbreak,Right hand Bat
6a26221c,A Markram,Right arm Offbreak,Right hand Bat
65cd62a9,A Martel,Left arm Medium,Right hand Bat
3cacbb57,A Martin,Legbreak,Right hand Bat
896d78ad,A Mathews,Right arm Medium,Right hand Bat
c661789d,A Mathieson,Right arm Medium,Right hand Bat
e957b38f,A McBrine,Right arm Offbreak,Left hand Bat
7f148ce7,A McCarthy,Right arm Offbreak,Right hand Bat
16043342,A McDonald,Right arm Medium fast,Right hand Bat
7cefb2a2,A Mehmood,Right arm Medium,Right hand Bat
f336ff13,A Mehrotra,Not found,Not found
8291f939,A Menaria,Slow Left arm Orthodox,Left hand Bat
ea0cdc12,A Mendis,Right arm Medium,Right hand Bat
e4f13acd,A Mene-Ejegi,Right arm Medium,Right hand Bat
4edfc785,A Modi,Not found,Right hand Bat
940255af,A Mongar,Right arm Offbreak,Right hand Bat
24dd1b81,A Morgan,Not found,Not found
c3d35165,A Morkel,Right arm Medium fast,Left hand Bat
04cf2e94,A Morris,Right arm Offbreak,Right hand Bat
811425b1,A Mufti,Right arm Medium,Left hand Bat
ef5da05c,A Murtaza,Right arm Medium fast,Right hand Bat
a4571ba9,A Mustafa,Not found,Right hand Bat
a2ec22d2,A Mutreja,Right arm Offbreak,Right hand Bat
84424f4f,A Nand Kishore,Right arm Medium,Right hand Bat
704e0160,A Nanda,Right arm Fast medium,Left hand Bat
4d1ec7eb,A Nao,Right arm Medium,Right hand Bat
a2b73ae0,A Natarajan,Not found,Not found
f10e94c4,A Nath,Right arm Offbreak,Right hand Bat
f1c4f2ea,A Nathwani,Right arm Offbreak,Right hand Bat
9c91218d,A Natubhai Ahir,Left arm Medium,Right hand Bat
ba0ebe56,A Naudi,Not found,Not found
a45a5e8d,A Nayar,Right arm Medium,Left hand Bat
2af1b6d2,A Nechim,Right arm Medium fast,Right hand Bat
4957b300,A Neill,Right arm Medium,Right hand Bat
